course_number,instructor_name
212-0,Jinshuo Dong
213-0,Nikolaos Hardavellas
260-0,Daniel W. Linna
260-0,John D. Villasenor
295-0,Ian D. Horswill
296-0,V.S. Subrahmanian
311-0,Marcelo A. Worsley
312-0,Sruti S. Bhagavatula
313-0,Michael S. Horn
326-0,Joshua H. Perry
345-0,Fabian E. Bustamante
347-0,Kenneth D. Forbus
349-0,Peng Kang
372-0,Uriel J. Wilensky
394-0,Todd M. Warren
396-0-1,Zachary D. Wood-Doughty
396-0-2,Emma B. Alexander
396-0-3,Connor Bain
396-0-4,Jinshuo Dong
396-0-5,Sruti S. Bhagavatula
396-0-8,Ian D. Horswill
396-0-9,Robert Findler
396-0-10,Lydia Tse
396-0-18,Lawrence A. Birnbaum
396-0-18,Jeremy D. Gilbert
396-0-19,Alok N. Choudhary
396-0-20,Nivedita Arora
396-0-21,Natalie Melo
397-0-7,Branden Ghena
397-0-9,Marcelo A. Worsley
397-0-10,Simone Campanoni
397-0-11,Aleksandar Kuzmanovic
397-0-12,Nabil I. Alshurafa
413-0,Michael S. Horn
447-0,Kenneth D. Forbus
460-0,Daniel W. Linna
460-0,John D. Villasenor
472-0,Uriel J. Wilensky
496-0-6,Eric M. Evert
496-0-7,Konstantin Makarychev
496-0-8,Ian D. Horswill
496-0-9,Robert Findler
496-0-11,Han Liu
496-0-12,Han Liu
496-0-14,Xiao Wang
496-0-15,Kaitlin N. Smith
496-0-16,Andrew Crotty
496-0-18,Lawrence A. Birnbaum
496-0-18,Jeremy D. Gilbert
496-0-19,Alok N. Choudhary
496-0-20,Nivedita Arora
496-0-21,Natalie Melo
496-0-22,Oleg D. Evdokimov
497-0-6,David Demeter
497-0-7,Branden Ghena
497-0-9,Marcelo A. Worsley
497-0-10,Simone Campanoni
497-0-11,Aleksandar Kuzmanovic
497-0-12,Nabil I. Alshurafa
110-0,Michail Mamakos
111-0,Maryam Hedayati
330-0,Alexandros N. Lotsos
330-0,Amartya Banerjee
331-0,Florian A. Schiffers
350-0,Mohammad Kavousi
396-0-1,Victoria C. Chavez
396-0-2,Victoria C. Chavez
397-0-1,Blaine Rothrock
497-0-1,Blaine Rothrock
326-0,Joshua S. D'arcy
333-0,Abhraneel Sarma
336-0,Sanchit Kalhan
349-0,Mohammed A. Alam
